"NAME","Year","Total_Avg_Annual_Pay_Total","Total_Avg_Annual_Pay_Black_Business","Total_Avg_Employees_Total","Total_Avg_Employees_Black_Business","Total_Sum_of_Firms_Total","Total_Sum_of_Firms_Black_Business"
"Atlantic City-Hammonton, NJ Metro Area",2021,121038.891268534,160.52380952381,2528.52224052718,1,122712,38
"Auburn-Opelika, AL Metro Area",2018,26314.2495274102,0,841.538752362949,1,25579,0
"Auburn-Opelika, AL Metro Area",2019,27551.5906432749,0,1023.91228070175,1,36831,0
"Auburn-Opelika, AL Metro Area",2020,9995.14335060449,17.5882352941176,309.108808290155,1.29411764705882,9405,18
"Auburn-Opelika, AL Metro Area",2021,43878.531986532,46.6,1027.04208754209,2.4,60009,11
"Augusta-Richmond County, GA-SC Metro Area",2018,146942.594180704,12399.9285714286,3750.09800918836,537.928571428571,157819,694
"Augusta-Richmond County, GA-SC Metro Area",2019,133001.089665654,8641.06896551724,3141.75075987842,266.448275862069,172929,1674
"Augusta-Richmond County, GA-SC Metro Area",2020,161439.929577465,66,3853.47323943662,8.06060606060606,172389,22
"Augusta-Richmond County, GA-SC Metro Area",2021,231449.119505495,9708.40625,5063.92994505495,453.5625,259165,1282
"Austin-Round Rock, TX Metro Area",2018,956778.969072165,23086.1470588235,17308.6791237113,887.382352941176,1078094,1881
"Austin-Round Rock, TX Metro Area",2019,1054822.93085787,19723.9375,18630.6786171575,389.5,1121212,1727
"Austin-Round Rock, TX Metro Area",2020,1158363.23389021,44445.5294117647,21976.0334128878,1795.23529411765,1510893,4331
"Austin-Round Rock, TX Metro Area",2021,1375369.23167849,19851.6363636364,21022.7742316785,283.333333333333,1576449,1234
"Bakersfield, CA Metro Area",2018,166897.664383562,8153.19230769231,5292.58219178082,160.346153846154,214010,427
"Bakersfield, CA Metro Area",2019,201859.495251018,0,4696.51831750339,1,208796,0
"Bakersfield, CA Metro Area",2020,115758.196870926,2521.55555555556,2786.33507170795,86.6296296296296,174749,55
"Bakersfield, CA Metro Area",2021,265130.880407125,7780.11538461538,5552.44529262087,158.576923076923,377705,130
"Baltimore-Columbia-Towson, MD Metro Area",2018,1308683.7109067,86757.6,24761.3416557162,2350.74285714286,1407420,13579
"Baltimore-Columbia-Towson, MD Metro Area",2019,1445029.15514993,179476.162162162,27052.4367666232,4134.86486486487,1415569,12721
"Baltimore-Columbia-Towson, MD Metro Area",2020,1542328.66790123,129836.605263158,28871.0012345679,2692.42105263158,1723774,13292
"Baltimore-Columbia-Towson, MD Metro Area",2021,1560774.70194647,24915.7,26845.796836983,596.7,1717999,3934
"Bangor, ME Metro Area",2018,25030.6755218216,0,631.218216318786,1,22496,0
"Bangor, ME Metro Area",2019,55724.8490909091,0,1368.84,1,57441,0
"Bangor, ME Metro Area",2020,49549.0335689046,57.6923076923077,1136.86925795053,9,72129,4
"Bangor, ME Metro Area",2021,75256.9493891798,0,1642.82547993019,1,101092,0
"Barnstable Town, MA Metro Area",2018,90952.9982668977,0,1834.04506065858,1,152642,0
"Barnstable Town, MA Metro Area",2019,76883.4515570934,0,1610.97058823529,1,156483,0
"Barnstable Town, MA Metro Area",2020,79713.9452495974,66.0666666666667,1951.05314009662,2.4,177933,38
"Barnstable Town, MA Metro Area",2021,120648.300476948,0,2034.8426073132,1,193284,0
"Baton Rouge, LA Metro Area",2018,382416.298118669,18248.9032258065,7979.57163531114,819.677419354839,344836,1657
"Baton Rouge, LA Metro Area",2019,412794.4870317,18205.9310344828,7682.6023054755,991.310344827586,312220,2132
"Baton Rouge, LA Metro Area",2020,358165.171390013,18607.3333333333,7913.32658569501,540.424242424242,429232,2718
"Baton Rouge, LA Metro Area",2021,428436.303311258,18538.696969697,8691.55099337748,661.69696969697,425882,4113
"Battle Creek, MI Metro Area",2018,26668.3676470588,0,568.949579831933,1,10654,0
"Battle Creek, MI Metro Area",2019,34861.3534303534,0,723.172557172557,1,19047,0
"Battle Creek, MI Metro Area",2020,24694.6310861423,1124,484.046816479401,38.1428571428571,9474,2
"Battle Creek, MI Metro Area",2021,27496.1375968992,0,522.788759689922,1,9757,0
"Bay City, MI Metro Area",2018,9330.05966587112,0,246.949880668258,1,4646,0
"Bay City, MI Metro Area",2019,22623.7471264368,0,580.473563218391,1,21882,0
"Bay City, MI Metro Area",2020,23153.6701680672,112,569.539915966387,3,24479,14
"Bay City, MI Metro Area",2021,27673.4089068826,0,722.305668016194,1,32743,0
"Beaumont-Port Arthur, TX Metro Area",2018,138466.182380216,4193.86363636364,3108.66615146832,206.181818181818,143873,767
"Beaumont-Port Arthur, TX Metro Area",2019,123037.318032787,0,2399.39672131148,1,118874,0
"Beaumont-Port Arthur, TX Metro Area",2020,156170.403249631,106.35,3186.43131462334,3.45,107976,17
"Beaumont-Port Arthur, TX Metro Area",2021,119315.278664731,62.9,2192.48040638607,2,110346,3
"Beckley, WV Metro Area",2018,22955.6468253968,0,763.69246031746,1,32513,0
