"NAME","Year","Total_Avg_Annual_Pay_Total","Total_Avg_Annual_Pay_Black_Business","Total_Avg_Employees_Total","Total_Avg_Employees_Black_Business","Total_Sum_of_Firms_Total","Total_Sum_of_Firms_Black_Business"
"Maine",2018,128519.461983887,0,3334.25780463243,1,1527172,0
"Maine",2019,126852.969810576,9.7445652173913,2977.47947908445,1,1702275,31
"Maine",2020,112484.10622573,9008.13023255814,2644.14017286734,325.139534883721,2312854,2902
"Maine",2021,117923.094279401,4963.16356877323,2404.13000245519,143.159851301115,2207868,1549
"Maryland",2018,676468.425796995,70474.6997792495,13223.9926713082,1430.92494481236,5603466,93976
"Maryland",2019,625101.764098022,79154.1631205674,11951.6228225568,1784.77127659574,6142343,102325
"Maryland",2020,517456.453718466,83032.7625178827,9930.535121448,1455.89842632332,8553949,134002
"Maryland",2021,575013.287209623,115106.864229765,9604.1716095859,1838.29765013055,8759260,152283
"Massachusetts",2018,1002372.98254318,13603.1183098592,17477.4693127527,386.385915492958,7292749,18888
"Massachusetts",2019,939841.365332935,13683.5258426966,15487.9377426097,431.175280898876,8062865,20997
"Massachusetts",2020,826702.157944101,17620.3472222222,13408.5723128869,587.321180555556,11224756,36779
"Massachusetts",2021,928735.718720865,28779.2668918919,12704.2529367891,749.633445945946,11717895,37571
"Michigan",2018,949064.700072098,43356.097323601,22035.3509372747,1260.46228710462,8790291,29788
"Michigan",2019,953594.129520729,22912.8048780488,21551.4897089091,777.80266075388,10106770,33708
"Michigan",2020,753478.773741236,23327.7584097859,17192.6591095329,798.191131498471,13848846,61647
"Michigan",2021,873451.69609615,75540.3892405063,16533.3236038316,2197.34018987342,14426493,73332
"Minnesota",2018,659523.954921112,13587.7122093023,14259.1694214876,537.56976744186,5955020,15359
"Minnesota",2019,616455.68289312,17446.7909319899,12670.7718058968,723.91435768262,6404466,16182
"Minnesota",2020,551604.23527109,18561.7165354331,11097.674789587,692.661417322835,8844883,23070
"Minnesota",2021,567651.230157979,33690.174863388,10607.4541670608,1233.72313296903,9493588,42802
"Mississippi",2018,213655.461337399,5880.9606741573,6422.2147680244,240.047752808989,2028819,12800
"Mississippi",2019,181290.771016532,8396.8097826087,5175.29581428069,386.815217391304,2259736,18229
"Mississippi",2020,151256.257618943,3561.21875,4234.89037491778,126.380514705882,2881031,12511
"Mississippi",2021,172252.678844703,14707.9265734266,4582.98351115422,744.804195804196,3215128,37791
"Missouri",2018,553035.471812334,14811.5475,13775.9373817631,666.88,5698383,40363
"Missouri",2019,509281.402391629,15631.9841269841,11813.1013452915,690.37641723356,6306231,55800
"Missouri",2020,488210.545105566,20508.6305147059,10515.9777351248,840.185661764706,8808828,99260
"Missouri",2021,489114.947691436,27851.883882149,9951.32716457369,865.596187175043,9108381,88131
"Montana",2018,85281.4712698037,149.820143884892,2513.96902340979,4.92805755395683,1417226,144
"Montana",2019,88195.4762081784,348.661016949153,2230.33661710037,6.30508474576271,1630868,208
"Montana",2020,73704.1943409408,349.911458333333,1882.32277596646,19.171875,2293571,470
"Montana",2021,95344.5749512559,404.8,2132.68734946668,11.2545454545455,2667979,540
"Nebraska",2018,258354.598021583,62.2277777777778,6106.5717176259,3.01111111111111,2200097,171
"Nebraska",2019,229240.174268581,2528.71359223301,5231.70343449028,82.6796116504854,2323715,2162
"Nebraska",2020,180616.120940519,4775.48290598291,4278.83343033407,117.106837606838,3051534,2968
"Nebraska",2021,200609.400247831,1520.2262295082,4129.15264165822,28.2196721311475,3247050,1979
"Nevada",2018,272726.848405253,13941.996941896,6711.50187617261,291.553516819572,2643472,4872
"Nevada",2019,251272.610580567,10216.8637532134,5878.7494315598,205.385604113111,2917821,8236
"Nevada",2020,225140.512717919,19348.9321705426,5437.06525674002,439.587209302326,4118765,12849
"Nevada",2021,250327.196841616,21454.5038167939,5023.40780306549,419.914122137405,4610136,17974
"New Hampshire",2018,182265.31320393,154.064516129032,3954.44716031632,11.3763440860215,1397836,70
"New Hampshire",2019,183581.319938768,262.052401746725,3585.06448526598,8.86026200873362,1540975,173
"New Hampshire",2020,140844.471934474,1524.97397769517,2964.09154420622,56.3568773234201,2000584,801
"New Hampshire",2021,175890.052071006,2892.69565217391,2897.82390532544,83.9652173913043,2267018,2693
"New Jersey",2018,1052661.89662266,22044.4331797235,21403.0174867135,647.68202764977,10320229,48024
"New Jersey",2019,1070717.69373484,30472.8974358974,19918.8193235336,902.603550295858,11599221,51361
"New Jersey",2020,831158.009992042,23107.0232919255,16133.3434432753,816.667701863354,15918918,65092
"New Jersey",2021,942340.073684211,32117.2540381791,15508.3858498706,833.130690161527,16692838,98771
"New Mexico",2018,119268.111391422,1267.80269058296,3119.78614399379,38.5784753363229,1447262,486
"New Mexico",2019,132974.601990836,3347.46183206107,3282.06209511771,114.759541984733,1580940,1600
"New Mexico",2020,115388.814489239,4352.1711409396,2766.36617156714,158.838926174497,2269504,2877
"New Mexico",2021,120467.067222767,5409.52148997135,2559.15368007851,157.948424068768,2374673,4441
"New York",2018,2372055.12001928,50562.4683301344,42731.0305269923,1300.48752399232,25162570,141612
"New York",2019,2277395.40835633,68220.5264054514,39806.2039153856,1811.20272572402,28109391,201027
"New York",2020,1893875.79497355,67878.5108991826,33798.9357638889,1875.31335149864,38752721,232894
"New York",2021,2133958.10988742,82362.652284264,30610.9522760646,1614.41116751269,38954336,288690
"North Carolina",2018,821849.653398227,55556.9157175399,20163.5239005736,1999.04328018223,9243164,89012
